"","Security","Date","ROC","RSI","SO_SMA","CCI","Change"
"59","HDFC",2016-11-17,-4.4,46.2004034969738,62.6162790697675,-71.714,"LOSS"
"60","HDFC",2016-11-18,-3.7,34.5210727969348,57.6937984496124,-87.173,"LOSS"
"61","HDFC",2016-11-21,-4.2,26.865671641791,56.8410852713178,-88.58,"GAIN"
"62","HDFC",2016-11-22,-2.1,41.4285714285714,59.4573643410853,-26.932,"LOSS"
"63","HDFC",2016-11-23,-2.1,38.0892782644973,62.6550387596899,-17.901,"LOSS"
"64","HDFC",2016-11-24,-3.6,37.0535714285714,64.5930232558139,-37.417,"GAIN"
"65","HDFC",2016-11-25,-2.8,38.6912065439674,63.1201550387597,-32.88,"GAIN"
"66","HDFC",2016-11-28,0.31,34.5700567437799,64.9696248544001,-19.595,"LOSS"
"67","HDFC",2016-11-29,-0.93,35.3887399463807,69.0908234232731,-31.374,"GAIN"
"68","HDFC",2016-11-30,-0.63,52.3076923076924,62.2591708198567,-23.097,"LOSS"
"69","HDFC",2016-12-01,-1.5,43.7421777221527,49.8366235534377,-28.215,"LOSS"
"70","HDFC",2016-12-02,0.17,40.8647990255785,34.3362831858407,-32.434,"LOSS"
"71","HDFC",2016-12-05,-0.71,33.9766081871344,24.8082595870206,-30.208,"GAIN"
"72","HDFC",2016-12-06,0.42,50.1771793054571,24.2946301758987,-37.882,"LOSS"
"73","HDFC",2016-12-07,0.26,47.8566408995081,24.4002649404567,-47.754,"GAIN"
"74","HDFC",2016-12-08,-0.79,57.1138211382114,35.4166666666667,-43.493,"LOSS"
"75","HDFC",2016-12-09,-0.61,56.997971602434,37.8303525325071,57.974,"LOSS"
"76","HDFC",2016-12-12,-0.41,38.5846672283067,37.8196439468619,-74.544,"LOSS"
"77","HDFC",2016-12-13,-1,37.1451743714518,27.5454161385721,-85.347,"LOSS"
"78","HDFC",2016-12-14,-1.2,41.6742493175614,19.5183776932827,-77.996,"GAIN"
"79","HDFC",2016-12-15,-0.36,45.1668092386655,19.7718631178708,-25.343,"GAIN"
"80","HDFC",2016-12-16,-0.17,49.046104928458,29.6577946768062,49.642,"LOSS"
"81","HDFC",2016-12-19,-0.68,44.7750362844704,31.1787072243348,-47.124,"GAIN"
"82","HDFC",2016-12-20,-0.19,42.2610015174507,29.700042247571,-54.582,"LOSS"
"83","HDFC",2016-12-21,-0.19,40.2747650036153,18.5026633695837,-108.324,"LOSS"
"84","HDFC",2016-12-22,-2,35.5229591836735,14.3051067838817,-178.959,"LOSS"
"85","HDFC",2016-12-23,-2.3,36.7656765676568,7.88059959730026,-185.132,"GAIN"
"86","HDFC",2016-12-26,-2.5,36.6402116402116,10.8958080265214,-157.148,"GAIN"
"87","HDFC",2016-12-27,-2.4,37.7371273712736,15.4403261507882,-106.615,"GAIN"
"88","HDFC",2016-12-28,-1.6,34.590747330961,23.2749469214437,-80.658,"LOSS"
"89","HDFC",2016-12-29,-1.4,33.5635359116023,25.5596494490677,-87.285,"GAIN"
"90","HDFC",2016-12-30,-0.72,41.7169684775318,31.9009871836595,-36.212,"GAIN"
"91","HDFC",2017-01-02,-1.1,45.2229299363058,36.3442822384427,-14.269,"GAIN"
"92","HDFC",2017-01-03,-1.3,48.9755452742895,44.0997566909975,43.707,"LOSS"
"93","HDFC",2017-01-04,-1.1,40.7928388746803,43.0352798053527,-25.294,"LOSS"
"94","HDFC",2017-01-05,-1.8,32.6016785022595,38.2103630244185,-38.555,"GAIN"
"95","HDFC",2017-01-06,0.17,47.1839799749687,38.1580192708116,1.289,"LOSS"
"96","HDFC",2017-01-09,1.2,44.9844236760125,41.5559772296015,2.689,"GAIN"
"97","HDFC",2017-01-10,15,82.437015503876,61.6589394549828,262.495,"LOSS"
"98","HDFC",2017-01-11,9.9,71.6722830665543,65.8471682082819,186.677,"LOSS"
"99","HDFC",2017-01-12,8.9,70.2518579686209,69.4261092775944,140.866,"GAIN"
"100","HDFC",2017-01-13,9.3,70.5617977528089,60.7652687037411,123.161,"LOSS"
"101","HDFC",2017-01-16,8.9,68.7450199203187,58.6581658932674,105.727,"LOSS"
"102","HDFC",2017-01-17,6.2,62.7333831217326,54.2800671970779,72.377,"GAIN"
"103","HDFC",2017-01-18,10,68.5335059889932,56.8894803600678,93.97,"GAIN"
"104","HDFC",2017-01-19,10,68.5131195335277,62.2834445113427,103.938,"LOSS"
"105","HDFC",2017-01-20,9.2,64.0955423703027,67.6994196911577,76.229,"LOSS"
