"","Date","Open.Price","High.Price","Low.Price","Close.Price","WAP","No.of.Shares","No..of.Trades","Total.Turnover..Rs..","Deliverable.Quantity","X..Deli..Qty.to.Traded.Qty","Spread.High.Low","Spread.Close.Open","Security","Load.Type"
"158338","2015-02-13",1360,1392,1360,1374.25,"1375.88877472386",15572,2452,21425340,"5315","34.13",32,14.25,"HDFC","DUMP"
"158509","2015-02-12",1366.5,1376,1341.25,1359.5,"1353.06615469007",9115,1449,12333198,"3615","39.66",34.75,-7,"HDFC","DUMP"
"158680","2015-02-11",1365,1407.55,1350,1361.8,"1375.59599814628",36683,5893,50460988,"6445","17.57",57.55,-3.2,"HDFC","DUMP"
"158851","2015-02-10",1260,1387.7,1250,1361.35,"1331.57850557638",84822,13577,112947152,"10155","11.97",137.7,101.35,"HDFC","DUMP"
"159022","2015-02-09",1289.95,1289.95,1257.4,1267.65,"1270.27590015463",4527,721,5750539,"1701","37.57",32.55,-22.3,"HDFC","DUMP"
"159192","2015-02-06",1275,1290,1270.75,1281.6,"1280.39336564677",6602,1431,8453157,"2370","35.9",19.25,6.6,"HDFC","DUMP"
"159363","2015-02-05",1271.6,1274.95,1258.2,1262.25,"1264.99571292474",6298,970,7966943,"3093","49.11",16.75,-9.35,"HDFC","DUMP"
"159534","2015-02-04",1275,1286.05,1262.1,1267.05,"1273.3052523172",4855,725,6181897,"1826","37.61",23.95,-7.95,"HDFC","DUMP"
"159703","2015-02-03",1270.75,1280,1258,1261.3,"1268.57518248175",3425,560,4344870,"1204","35.15",22,-9.45,"HDFC","DUMP"
"159873","2015-02-02",1291,1291,1257,1261.55,"1269.41951604419",7604,1046,9652666,"2018","26.54",34,-29.45,"HDFC","DUMP"
"160042","2015-01-30",1315.45,1319.85,1275.1,1284.8,"1297.27185340943",6658,1095,8637236,"2433","36.54",44.75,-30.65,"HDFC","DUMP"
"160211","2015-01-29",1324.55,1328.05,1302,1304.65,"1312.4598540146",5480,940,7192280,"1823","33.27",26.05,-19.9,"HDFC","DUMP"
"160381","2015-01-28",1322.5,1350,1320,1330.7,"1335.0054662912",12074,1833,16118856,"3871","32.06",30,8.2,"HDFC","DUMP"
"160552","2015-01-27",1300.15,1341,1300.15,1312.3,"1320.67803406085",24192,3266,31949843,"7146","29.54",40.85,12.15,"HDFC","DUMP"
"160723","2015-01-23",1286,1319.9,1286,1296.2,"1303.24706333973",13025,2065,16974793,"4470","34.32",33.9,10.2,"HDFC","DUMP"
"160893","2015-01-22",1280,1301,1270.15,1277.2,"1283.80255534096",6731,1221,8641275,"2512","37.32",30.85,-2.8,"HDFC","DUMP"
"161064","2015-01-21",1285.55,1290.4,1266.9,1270.95,"1276.89624329159",3913,629,4996495,"1485","37.95",23.5,-14.6,"HDFC","DUMP"
"161235","2015-01-20",1277.6,1301.8,1267.35,1273.05,"1284.9880220136",9267,1217,11907984,"2341","25.26",34.45,-4.55,"HDFC","DUMP"
"161406","2015-01-19",1280.35,1310,1270,1275.45,"1289.56568886417",14386,1938,18551692,"6027","41.89",40,-4.9,"HDFC","DUMP"
"161576","2015-01-16",1270,1288,1253.2,1276.75,"1274.89719626168",10486,1486,13368572,"3205","30.56",34.8,6.75,"HDFC","DUMP"
"161745","2015-01-15",1299,1299,1261.1,1267.65,"1275.84900490337",6934,1183,8846737,"2778","40.06",37.9,-31.35,"HDFC","DUMP"
"161913","2015-01-14",1274,1300,1250,1256.9,"1267.90107160599",14091,1866,17865994,"5781","41.03",50,-17.1,"HDFC","DUMP"
"162082","2015-01-13",1269.85,1304.5,1266.7,1271.95,"1285.73526711952",10894,1993,14006800,"2430","22.31",37.8,2.1,"HDFC","DUMP"
"162252","2015-01-12",1270,1280,1258.25,1266.7,"1269.95483604867",4849,1002,6158011,"1144","23.59",21.75,-3.3,"HDFC","DUMP"
"162420","2015-01-09",1300,1303.25,1260,1267.85,"1280.6759382486",15028,2936,19245998,"2908","19.35",43.25,-32.15,"HDFC","DUMP"
"162591","2015-01-08",1280.65,1320,1275,1289.55,"1298.47067549064",8764,1592,11379797,"2037","23.24",45,8.9,"HDFC","DUMP"
"162762","2015-01-07",1284,1290,1255.15,1260.05,"1269.2068895022",9783,1658,12416651,"3194","32.65",34.85,-23.95,"HDFC","DUMP"
"162933","2015-01-06",1282.6,1286,1252.05,1277.5,"1266.49524534043",10516,1885,13318464,"2079","19.77",33.95,-5.1,"HDFC","DUMP"
"163104","2015-01-05",1299.3,1313.65,1282.25,1285.3,"1293.5268775218",7683,1002,9938167,"2480","32.28",31.4,-14,"HDFC","DUMP"
"163274","2015-01-02",1308.7,1322.2,1280.2,1289.75,"1301.49964813512",8526,1460,11096586,"2139","25.09",42,-18.95,"HDFC","DUMP"
"163444","2015-01-01",1285,1329.8,1272,1299.85,"1302.86518029177",18165,2922,23666546,"2783","15.32",57.8,14.85,"HDFC","DUMP"
