"","Date","Open.Price","High.Price","Low.Price","Close.Price","WAP","No.of.Shares","No..of.Trades","Total.Turnover..Rs..","Deliverable.Quantity","X..Deli..Qty.to.Traded.Qty","Spread.High.Low","Spread.Close.Open","Security","Load.Type"
"139891","2015-07-23",1400,1427.3,1394.15,1406.15,"1408.91655100625",5764,600,8120995,"1758","30.5",33.15,6.15,"HDFC","DUMP"
"140061","2015-07-22",1410,1415,1382.25,1387.9,"1396.38684640523",2448,332,3418355,"1048","42.81",32.75,-22.1,"HDFC","DUMP"
"140229","2015-07-21",1395.5,1432.8,1382,1390.4,"1404.56915167095",5835,742,8195661,"664","11.38",50.8,-5.1,"HDFC","DUMP"
"140400","2015-07-20",1415,1415,1387.3,1395.5,"1398.18387553041",5656,622,7908128,"834","14.75",27.7,-19.5,"HDFC","DUMP"
"140571","2015-07-17",1436.7,1444.4,1406,1412.75,"1429.25066819397",5238,540,7486415,"1317","25.14",38.4,-23.95,"HDFC","DUMP"
"140742","2015-07-16",1409,1440.9,1407.9,1431.25,"1423.55396561287",9015,888,12833339,"3375","37.44",33,22.25,"HDFC","DUMP"
"140913","2015-07-15",1390,1414.3,1390,1404.1,"1403.54159869494",5517,618,7743339,"1664","30.16",24.3,14.1,"HDFC","DUMP"
"141083","2015-07-14",1410,1410,1378.05,1382.15,"1388.96433700335",4178,456,5803093,"884","21.16",31.95,-27.85,"HDFC","DUMP"
"141254","2015-07-13",1378,1399,1378,1392.35,"1388.91826694176",6301,712,8751574,"2102","33.36",21,14.35,"HDFC","DUMP"
"141425","2015-07-10",1402.75,1406.5,1364.95,1372.3,"1377.34936654499",4657,579,6414316,"1113","23.9",41.55,-30.45,"HDFC","DUMP"
"141595","2015-07-09",1421,1425,1380,1389.4,"1406.11037784679",7728,864,10866421,"1678","21.71",45,-31.6,"HDFC","DUMP"
"141764","2015-07-08",1375.75,1431.7,1366.4,1421.25,"1401.90900352451",9363,1001,13126074,"2271","24.26",65.3,45.5,"HDFC","DUMP"
"141935","2015-07-07",1406,1410,1382.05,1395.45,"1402.08456707044",4458,528,6250493,"1067","23.93",27.95,-10.55,"HDFC","DUMP"
"142104","2015-07-06",1380,1417.3,1377,1400.6,"1394.18961658959",6703,688,9345253,"2638","39.36",40.3,20.6,"HDFC","DUMP"
"142275","2015-07-03",1371.1,1400,1367.6,1394,"1384.94492920215",19139,1559,26506461,"6864","35.86",32.4,22.9,"HDFC","DUMP"
"142445","2015-07-02",1332.2,1366,1325.05,1362.5,"1354.76279662679",10198,1029,13815871,"4546","44.58",40.95,30.3,"HDFC","DUMP"
"142614","2015-07-01",1325.2,1338.05,1325,1330.2,"1331.2654171705",3308,410,4403826,"867","26.21",13.05,5,"HDFC","DUMP"
"142784","2015-06-30",1325,1336,1320.1,1322.75,"1327.38235294118",5848,644,7762532,"1489","25.46",15.9,-2.25,"HDFC","DUMP"
"142954","2015-06-29",1313,1329,1294,1321.1,"1317.46593080025",4711,581,6206582,"1592","33.79",35,8.1,"HDFC","DUMP"
"143123","2015-06-26",1368.4,1368.4,1340.05,1350.65,"1356.54482158399",6894,714,9352020,"2187","31.72",28.35,-17.75,"HDFC","DUMP"
"143293","2015-06-25",1330.5,1368,1319.5,1361.75,"1355.39532610627",11254,1282,15253619,"3643","32.37",48.5,31.25,"HDFC","DUMP"
"143465","2015-06-24",1345.1,1357.4,1315.95,1323.1,"1339.15615835777",2728,338,3653218,"483","17.71",41.45,-22,"HDFC","DUMP"
"143634","2015-06-23",1333,1370,1331,1343.8,"1354.96860986547",5575,533,7553950,"1093","19.61",39,10.8,"HDFC","DUMP"
"143804","2015-06-22",1337.15,1345,1325,1334.1,"1333.44479338843",6050,578,8067341,"2396","39.6",20,-3.05,"HDFC","DUMP"
"143972","2015-06-19",1314.5,1345,1314.5,1326.85,"1326.65566037736",5088,714,6750024,"980","19.26",30.5,12.35,"HDFC","DUMP"
"144143","2015-06-18",1316.15,1330,1301.75,1316.75,"1317.21346254584",3818,628,5029121,"1251","32.77",28.25,0.6,"HDFC","DUMP"
"144309","2015-06-17",1274.05,1328.5,1265.05,1311,"1300.71637525219",5948,942,7736661,"1322","22.23",63.45,36.95,"HDFC","DUMP"
"144476","2015-06-16",1268.7,1270.95,1245,1264.8,"1257.43860395829",4699,554,5908704,"1930","41.07",25.95,-3.9,"HDFC","DUMP"
"144644","2015-06-15",1268.1,1280,1250,1261.85,"1265.83548387097",2170,253,2746863,"739","34.06",30,-6.25,"HDFC","DUMP"
"144813","2015-06-12",1350.2,1350.2,1254.05,1262.4,"1266.44916695002",2941,457,3724627,"514","17.48",96.15,-87.8,"HDFC","DUMP"
"144982","2015-06-11",1296.65,1315.15,1261,1267.55,"1282.35415604284",3922,612,5029393,"1132","28.86",54.15,-29.1,"HDFC","DUMP"
"145150","2015-06-10",1310.95,1322.85,1288.4,1294.4,"1299.86308698237",5047,611,6560409,"1510","29.92",34.45,-16.55,"HDFC","DUMP"
"145318","2015-06-09",1267,1310,1257.25,1295.9,"1284.70991114149",7315,1027,9397653,"2205","30.14",52.75,28.9,"HDFC","DUMP"
"145487","2015-06-08",1269.2,1275,1245.5,1267.6,"1258.8",3520,382,4430976,"812","23.07",29.5,-1.6,"HDFC","DUMP"
"145654","2015-06-05",1281.4,1298.8,1255,1264.85,"1270.68357573608",5638,729,7164114,"1077","19.1",43.8,-16.55,"HDFC","DUMP"
"145820","2015-06-04",1275,1295,1270,1280.85,"1280.7679266259",3598,486,4608203,"1002","27.85",25,5.85,"HDFC","DUMP"
"145988","2015-06-03",1308.8,1333,1257.05,1272.85,"1284.4345783941",8942,892,11485414,"2713","30.34",75.95,-35.95,"HDFC","DUMP"
"146157","2015-06-02",1341.3,1350,1311,1320.8,"1329.61127871896",4309,546,5729295,"697","16.18",39,-20.5,"HDFC","DUMP"
"146326","2015-06-01",1330,1344.95,1313,1329.55,"1335.59932088285",2945,346,3933340,"706","23.97",31.95,-0.45,"HDFC","DUMP"
"146494","2015-05-29",1386.8,1386.8,1332.5,1340,"1344.2574554438",5667,581,7617907,"2195","38.73",54.3,-46.8,"HDFC","DUMP"
"146663","2015-05-28",1366.85,1390,1335.55,1345.75,"1360.2436067437",5279,601,7180726,"1523","28.85",54.45,-21.1,"HDFC","DUMP"
"146832","2015-05-27",1365.6,1367.8,1346,1355.9,"1357.13350449294",4674,535,6343242,"1694","36.24",21.8,-9.7,"HDFC","DUMP"
"147000","2015-05-26",1381.95,1386,1359,1369.2,"1372.85271101174",3578,429,4912067,"964","26.94",27,-12.75,"HDFC","DUMP"
"147167","2015-05-25",1397,1423,1380.1,1386.25,"1403.09884133365",12687,1261,17801115,"3052","24.06",42.9,-10.75,"HDFC","DUMP"
"147335","2015-05-22",1350,1403.95,1334.15,1394.45,"1379.79741037611",11353,1137,15664840,"3345","29.46",69.8,44.45,"HDFC","DUMP"
"147502","2015-05-21",1348.3,1354.3,1333,1339.6,"1342.76410564226",4998,528,6711135,"1587","31.75",21.3,-8.7,"HDFC","DUMP"
"147672","2015-05-20",1348.1,1357,1328.05,1340.3,"1341.16578086672",4892,503,6560983,"1180","24.12",28.95,-7.8,"HDFC","DUMP"
"147842","2015-05-19",1335,1353,1335,1341.55,"1343.48646723647",4212,610,5658765,"1532","36.37",18,6.55,"HDFC","DUMP"
"148007","2015-05-18",1350,1350.5,1331.7,1338.35,"1339.47408716137",3396,382,4548854,"1115","32.83",18.8,-11.65,"HDFC","DUMP"
"148175","2015-05-15",1351.85,1370,1329.85,1347,"1346.36410003291",6078,762,8183201,"1195","19.66",40.15,-4.85,"HDFC","DUMP"
"148343","2015-05-14",1347.8,1350.25,1334.5,1347.05,"1343.65786290323",4960,569,6664543,"1400","28.23",15.75,-0.75,"HDFC","DUMP"
"148511","2015-05-13",1328.4,1355,1308.1,1344.1,"1332.26189290162",8030,979,10698063,"1554","19.35",46.9,15.7,"HDFC","DUMP"
"148678","2015-05-12",1343.75,1345,1283.55,1318.95,"1313.75830377298",12404,1614,16295858,"4393","35.42",61.45,-24.8,"HDFC","DUMP"
"148845","2015-05-11",1370.4,1376.4,1328,1333.85,"1347.34981437732",5926,821,7984395,"2529","42.68",48.4,-36.55,"HDFC","DUMP"
"149013","2015-05-08",1385,1395.95,1330,1360.3,"1364.75916230366",8404,1707,11469436,"2129","25.33",65.95,-24.7,"HDFC","DUMP"
"149182","2015-05-07",1340,1382.45,1335.55,1374.95,"1362.18929535969",16292,4554,22192788,"4240","26.03",46.9,34.95,"HDFC","DUMP"
